indicator_id,region_id,date,value
ZATT,2138,2020-01-31,620210.0
ZATT,1061,2020-01-31,297381.0
ZATT,1975,2020-01-31,274526.0
ZATT,983,2020-01-31,280361.0
ZATT,1407,2020-01-31,403703.0
ZATT,308,2020-01-31,238012.0
ZATT,1802,2020-01-31,252855.0
ZATT,365,2020-01-31,264832.0
ZATT,2650,2020-01-31,350947.0
ZATT,1133,2020-01-31,277838.0
ZATT,1789,2020-01-31,418418.0
ZATT,3004,2020-01-31,279913.0
ZATT,1337,2020-01-31,283339.0
ZATT,704,2020-01-31,322991.0
ZATT,2714,2020-01-31,399480.0
ZATT,2679,2020-01-31,661221.0
ZATT,2881,2020-01-31,191975.0
ZATT,178,2020-01-31,497411.0
ZATT,2913,2020-01-31,198319.0
ZATT,2569,2020-01-31,246389.0
ZATT,1544,2020-01-31,357940.0
ZATT,2901,2020-01-31,466649.0
ZATT,101,2020-01-31,189831.0
ZATT,250,2020-01-31,1109831.0
ZATT,3137,2020-01-31,266692.0
ZATT,1604,2020-01-31,305180.0
ZATT,930,2020-01-31,401104.0
ZATT,2824,2020-01-31,231685.0
ZATT,2468,2020-01-31,239364.0
ZATT,580,2020-01-31,328953.0
ZATT,2054,2020-01-31,329049.0
ZATT,1220,2020-01-31,263440.0
ZATT,3026,2020-01-31,346917.0
ZATT,2117,2020-01-31,262245.0
ZATT,1827,2020-01-31,334750.0
ZATT,1156,2020-01-31,370907.0
ZATT,2037,2020-01-31,355714.0
ZATT,113,2020-01-31,340888.0
ZATT,2289,2020-01-31,262337.0
ZATT,498,2020-01-31,367590.0
ZATT,1413,2020-01-31,375023.0
ZATT,3028,2020-01-31,173661.0
ZATT,3149,2020-01-31,367674.0
ZATT,3119,2020-01-31,172594.0
ZATT,3059,2020-01-31,322507.0
ZATT,251,2020-01-31,403662.0
ZATT,1607,2020-01-31,412041.0
ZATT,2799,2020-01-31,378983.0
ZATT,1176,2020-01-31,525949.0
ZATT,2695,2020-01-31,315511.0
ZATT,2722,2020-01-31,318762.0
ZATT,1951,2020-01-31,405833.0
